"ID","Work Item Type","Title 1","Title 2","Title 3","State","Priority","Tags","Description","Target Date","Original Estimate"
"","Epic","Collecte & Préparation des Données","","","New","1","data;ml;pack:standard","Récupération et nettoyage des données pour le projet","2/11/2025 23:59:59","20"
"","User Story","","Récupérer les données de consommation et DPE","","New","1","data;pack:standard","Collecter un dataset initial (consommation électrique + DPE)","","8"
"","Task","","","Télécharger les datasets openData (DPE, énergie)","New","1","data;pack:standard","Récupération depuis data.gouv et sources publiques","","2"
"","Task","","","Nettoyer et prétraiter les données","New","1","data;pack:standard","Suppression des valeurs manquantes, doublons et outliers","","3"
"","Task","","","Créer pipeline de préparation des données","New","2","data;pack:intermediaire","Définir un script reproductible de preprocessing","","3"
"","User Story","","Enrichir avec des données openData","","New","2","data;pack:intermediaire","Intégrer température extérieure pour améliorer les prédictions","","6"
"","Task","","","Collecter données météo historiques","New","2","data;pack:intermediaire","Récupération openData météo","","2"
"","Task","","","Joindre données météo au dataset principal","New","2","data;pack:intermediaire","Merge avec les DPE existants","","2"
"","Epic","Modélisation Machine Learning","","","New","1","ml;rapport;pack:standard","Construction des modèles de prédiction","2/11/2025 23:59:59","25"
"","User Story","","Sélectionner un modèle de classification pour prédire le DPE","","New","1","ml;pack:standard","Choisir et tester plusieurs algorithmes","","10"
"","Task","","","Optimiser hyperparamètres","New","2","ml;pack:standard","Tuning via GridSearch","","4"
"","Task","","","Comparer modèles avec métriques (Accuracy, F1, ...)","New","2","ml;pack:standard","Rapporter performances et choisir meilleur modèle","","3"
"","User Story","","Construire modèle de régression pour la consommation","","New","2","ml;pack:standard","Prédire consommation énergétique","","10"
"","Task","","","Sélectionner un modèle de régression","New","2","ml;pack:standard","Premiers tests","","4"
"","Task","","","Optimiser hyperparamètres","New","2","ml;pack:standard","Tuning via GridSearch","","4"
"","Task","","","Mesurer performance (RMSE, R2)","New","2","ml;pack:standard","Comparer métriques","","3"
"","Epic","API - API de Prédiction","","","New","1","api;ml;pack:expert","Développement et déploiement de l’API de prédiction","2/11/2025 23:59:59","20"
"","User Story","","Développer API REST pour prédiction DPE","","New","1","api;pack:expert","Créer une API pour exposer le modèle de prédiction","","10"
"","Task","","","Implémenter endpoints Flask/FastAPI","New","1","api;pack:expert","Exposer endpoint /predict avec input JSON","","4"
"","Task","","","Gérer validation des inputs","New","2","api;pack:expert","Vérifier formats et champs obligatoires","","2"
"","Task","","","Retourner résultats au format JSON","New","2","api;pack:expert","Retour clair (classe DPE + consommation estimée)","","2"
