;annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;code_commune;nom_commune;segment_de_client;nombre_de_logements;consommation_annuelle_totale_de_l_adresse_mwh;consommation_annuelle_moyenne_par_site_de_l_adresse_mwh;consommation_annuelle_moyenne_de_la_commune_mwh;adresse;code_epci;code_departement;code_region;tri_des_adresses
66969;2022;693880202;Les Alouettes-Bachut;54.0;B;RUE;SAINT MATHIEU;69123;Lyon;RESIDENTIEL;17;109.7;6.453;2.771;54 B RUE SAINT MATHIEU;200046977.0;69.0;84.0;170031
66978;2022;693880202;Les Alouettes-Bachut;49.0;;RUE;SAINT NESTOR;69123;Lyon;RESIDENTIEL;25;95.018;3.801;2.771;49 RUE SAINT NESTOR;200046977.0;69.0;84.0;170101
66979;2022;693880102;Colbert;3.0;;RUE;SAINT NESTOR;69123;Lyon;RESIDENTIEL;123;244.94;1.991;2.771;3 RUE SAINT NESTOR;200046977.0;69.0;84.0;170106
66980;2022;693880104;Marius Berliet Nord;26.0;;RUE;SAINT NESTOR;69123;Lyon;RESIDENTIEL;35;164.746;4.707;2.771;26 RUE SAINT NESTOR;200046977.0;69.0;84.0;170109
66981;2022;693880101;Jean Moulin;2.0;;RUE;SAINT NESTOR;69123;Lyon;RESIDENTIEL;11;21.472;1.952;2.771;2 RUE SAINT NESTOR;200046977.0;69.0;84.0;170111
66982;2022;693880101;Jean Moulin;13.0;;RUE;SAINT NESTOR;69123;Lyon;RESIDENTIEL;24;38.676;1.612;2.771;13 RUE SAINT NESTOR;200046977.0;69.0;84.0;170114
66987;2022;693880102;Colbert;3.0;;RUE;SAINT ROMAIN;69123;Lyon;RESIDENTIEL;27;41.798;1.548;2.771;3 RUE SAINT ROMAIN;200046977.0;69.0;84.0;170166
67012;2022;693880102;Colbert;4.0;;RUE;SANTOS DUMONT;69123;Lyon;RESIDENTIEL;15;36.196;2.413;2.771;4 RUE SANTOS DUMONT;200046977.0;69.0;84.0;170321
67013;2022;693880102;Colbert;33.0;;RUE;SANTOS DUMONT;69123;Lyon;RESIDENTIEL;22;45.604;2.073;2.771;33 RUE SANTOS DUMONT;200046977.0;69.0;84.0;170323
67014;2022;693880102;Colbert;13.0;;RUE;SANTOS DUMONT;69123;Lyon;RESIDENTIEL;15;85.769;5.718;2.771;13 RUE SANTOS DUMONT;200046977.0;69.0;84.0;170332
67024;2022;693880301;Laennec;13.0;;RUE;SEIGNEMARTIN;69123;Lyon;RESIDENTIEL;52;98.537;1.895;2.771;13 RUE SEIGNEMARTIN;200046977.0;69.0;84.0;170375
67065;2022;693880302;Rockefeller-La Buire;23.0;;RUE;VICTOR DE LAPRADE;69123;Lyon;RESIDENTIEL;105;203.001;1.933;2.771;23 RUE VICTOR DE LAPRADE;200046977.0;69.0;84.0;170790
67072;2022;693880101;Jean Moulin;38.0;;RUE;VILLON;69123;Lyon;RESIDENTIEL;11;21.168;1.924;2.771;38 RUE VILLON;200046977.0;69.0;84.0;170896
67073;2022;693880802;Audibert-La Virotte;2.0;;RUE;VILLON;69123;Lyon;RESIDENTIEL;10;35.828;3.583;2.771;2 RUE VILLON;200046977.0;69.0;84.0;170901
67077;2022;693880502;La Plaine;51.0;B;AVENUE;VIVIANI;69123;Lyon;RESIDENTIEL;16;27.65;1.728;2.771;51 B AVENUE VIVIANI;200046977.0;69.0;84.0;170960
67078;2022;693880702;États-Unis;25.0;;RUE;WAKATSUKI;69123;Lyon;RESIDENTIEL;10;19.631;1.963;2.771;25 RUE WAKATSUKI;200046977.0;69.0;84.0;170984
68546;2022;693880101;Jean Moulin;42.0;;COURS;ALBERT THOMAS;69123;Lyon;RESIDENTIEL;29;149.51;5.156;2.771;42 COURS ALBERT THOMAS;200046977.0;69.0;84.0;162481
68547;2022;693880203;Montplaisir Nord;158.0;;COURS;ALBERT THOMAS;69123;Lyon;RESIDENTIEL;25;75.135;3.005;2.771;158 COURS ALBERT THOMAS;200046977.0;69.0;84.0;162493
68548;2022;693880203;Montplaisir Nord;156.0;;COURS;ALBERT THOMAS;69123;Lyon;RESIDENTIEL;25;70.721;2.829;2.771;156 COURS ALBERT THOMAS;200046977.0;69.0;84.0;162494
68564;2022;693880202;Les Alouettes-Bachut;6.0;;RUE;ANTOINE LUMIERE;69123;Lyon;RESIDENTIEL;22;134.263;6.103;2.771;6 RUE ANTOINE LUMIERE;200046977.0;69.0;84.0;162685
68565;2022;693880202;Les Alouettes-Bachut;52.0;;RUE;ANTOINE LUMIERE;69123;Lyon;RESIDENTIEL;74;40.203;0.543;2.771;52 RUE ANTOINE LUMIERE;200046977.0;69.0;84.0;162686
68569;2022;693880503;Général André;4.0;;IMPASSE;ARLETTE;69123;Lyon;RESIDENTIEL;20;62.977;3.149;2.771;4 IMPASSE ARLETTE;200046977.0;69.0;84.0;162727
68577;2022;693880901;Petite Guille;93.0;;RUE;AUDIBERT ET LAVIROTTE;69123;Lyon;RESIDENTIEL;52;17.38;0.334;2.771;93 RUE AUDIBERT ET LAVIROTTE;200046977.0;69.0;84.0;162755
68578;2022;693880901;Petite Guille;91.0;;RUE;AUDIBERT ET LAVIROTTE;69123;Lyon;RESIDENTIEL;28;35.609;1.272;2.771;91 RUE AUDIBERT ET LAVIROTTE;200046977.0;69.0;84.0;162756
68579;2022;693880105;Marius Berliet Sud;7.0;;RUE;AUDIBERT ET LAVIROTTE;69123;Lyon;RESIDENTIEL;43;85.325;1.984;2.771;7 RUE AUDIBERT ET LAVIROTTE;200046977.0;69.0;84.0;162757
68585;2022;693880303;Bataille;7.0;;RUE;AUGUSTE PINTON;69123;Lyon;RESIDENTIEL;27;106.194;3.933;2.771;7 RUE AUGUSTE PINTON;200046977.0;69.0;84.0;162806
68586;2022;693880303;Bataille;21.0;;RUE;AUGUSTE PINTON;69123;Lyon;RESIDENTIEL;18;73.075;4.06;2.771;21 RUE AUGUSTE PINTON;200046977.0;69.0;84.0;162807
68600;2022;693880202;Les Alouettes-Bachut;9.0;;RUE;BATAILLE;69123;Lyon;RESIDENTIEL;26;68.547;2.636;2.771;9 RUE BATAILLE;200046977.0;69.0;84.0;162921
68601;2022;693880202;Les Alouettes-Bachut;3.0;;RUE;BATAILLE;69123;Lyon;RESIDENTIEL;15;43.623;2.908;2.771;3 RUE BATAILLE;200046977.0;69.0;84.0;162935
68608;2022;693880402;La Trinité-Mermoz;15.0;;RUE;BERTHE MORISOT;69123;Lyon;RESIDENTIEL;15;31.185;2.079;2.771;15 RUE BERTHE MORISOT;200046977.0;69.0;84.0;163047
68613;2022;693880802;Audibert-La Virotte;310.0;;AVENUE;BERTHELOT;69123;Lyon;RESIDENTIEL;102;272.482;2.671;2.771;310 AVENUE BERTHELOT;200046977.0;69.0;84.0;163079
